system,topic,score
input.fub04De,t_416,0.2734
input.fub04De,t_421,0.0182
input.fub04De,t_426,0.0457
input.fub04De,t_431,0.5169
input.fub04De,t_436,0.1297
input.fub04De,t_441,0.5953
input.fub04De,t_446,0.0182
input.fub04De,t_601,0.6301
input.fub04De,t_606,0.4124
input.fub04De,t_611,0.3369
input.fub04De,t_616,0.657
input.fub04De,t_621,0.4552
input.fub04De,t_626,0.6022
input.fub04De,t_631,0.3169
input.fub04De,t_636,0.3919
input.fub04De,t_641,0.5812
input.fub04De,t_646,0.3813
input.fub04De,t_651,0.2729
input.fub04De,t_656,0.5464
input.fub04De,t_661,0.6947
input.fub04De,t_666,0.0228
input.fub04De,t_671,0.4795
input.fub04De,t_676,0.2931
input.fub04De,t_681,0.3698
input.fub04De,t_686,0.5719
input.fub04De,t_691,0.0026
input.fub04De,t_696,0.4458
input.fub04Dg,t_301,0.2222
input.fub04Dg,t_306,0.1521
input.fub04Dg,t_311,0.1834
input.fub04Dg,t_316,0.4482
input.fub04Dg,t_321,0.1518
input.fub04Dg,t_326,0.5608
input.fub04Dg,t_331,0.1942
input.fub04Dg,t_336,0.167
input.fub04Dg,t_341,0.2438
input.fub04Dg,t_346,0.0506
input.fub04Dg,t_351,0.5795
input.fub04Dg,t_356,0.0473
input.fub04Dg,t_361,0.3731
input.fub04Dg,t_366,0.5282
input.fub04Dg,t_371,0.0821
input.fub04Dg,t_376,0.0078
input.fub04Dg,t_381,0.0637
input.fub04Dg,t_386,0.0404
input.fub04Dg,t_391,0.1605
input.fub04Dg,t_396,0.4995
input.fub04Dg,t_401,0.011
input.fub04Dg,t_406,0.3636
input.fub04Dg,t_411,0.357
input.fub04Dg,t_416,0.3157
input.fub04Dg,t_421,0.0102
input.fub04Dg,t_426,0.1245
input.fub04Dg,t_431,0.5253
input.fub04Dg,t_436,0.1913
input.fub04Dg,t_441,0.6307
input.fub04Dg,t_446,0.0996
input.fub04Dg,t_601,0.8126
input.fub04Dg,t_606,0.5554
input.fub04Dg,t_611,0.2813
input.fub04Dg,t_616,0.3338
input.fub04Dg,t_621,0.428
input.fub04Dg,t_626,0.4398
input.fub04Dg,t_631,0.1212
input.fub04Dg,t_636,0.4296
input.fub04Dg,t_641,0.5104
input.fub04Dg,t_646,0.2988
input.fub04Dg,t_651,0.234
input.fub04Dg,t_656,0.5303
input.fub04Dg,t_661,0.7087
input.fub04Dg,t_666,0.0231
input.fub04Dg,t_671,0.4109
input.fub04Dg,t_676,0.3295
input.fub04Dg,t_681,0.6218
input.fub04Dg,t_686,0.5851
input.fub04Dg,t_691,0.0442
input.fub04Dg,t_696,0.2656
input.fub04Dge,t_301,0.1909
input.fub04Dge,t_306,0.1979
input.fub04Dge,t_311,0.2091
input.fub04Dge,t_316,0.6042
input.fub04Dge,t_321,0.1886
input.fub04Dge,t_326,0.6487
input.fub04Dge,t_331,0.1782
input.fub04Dge,t_336,0.0847
input.fub04Dge,t_341,0.2301
input.fub04Dge,t_346,0.053
input.fub04Dge,t_351,0.6071
input.fub04Dge,t_356,0.0572
input.fub04Dge,t_361,0.4343
input.fub04Dge,t_366,0.5057
input.fub04Dge,t_371,0.0648
input.fub04Dge,t_376,0.0011
input.fub04Dge,t_381,0.0627
input.fub04Dge,t_386,0.0389
input.fub04Dge,t_391,0.4182
input.fub04Dge,t_396,0.5113
input.fub04Dge,t_401,0.0099
input.fub04Dge,t_406,0.3505
input.fub04Dge,t_411,0.3652
input.fub04Dge,t_416,0.3154
input.fub04Dge,t_421,0.0109
input.fub04Dge,t_426,0.1333
input.fub04Dge,t_431,0.5437
input.fub04Dge,t_436,0.1774
input.fub04Dge,t_441,0.6017
input.fub04Dge,t_446,0.0852
input.fub04Dge,t_601,0.81
input.fub04Dge,t_606,0.5274
input.fub04Dge,t_611,0.2899
input.fub04Dge,t_616,0.3717
input.fub04Dge,t_621,0.4258
input.fub04Dge,t_626,0.5234
input.fub04Dge,t_631,0.1406
input.fub04Dge,t_636,0.4532
input.fub04Dge,t_641,0.5802
input.fub04Dge,t_646,0.2904
input.fub04Dge,t_651,0.287
input.fub04Dge,t_656,0.5966
input.fub04Dge,t_661,0.7293
