system,topic,score
input.anserini_ax,t_807,0.8952
input.anserini_ax,t_808,0.236
input.anserini_ax,t_809,0.4946
input.anserini_ax,t_810,0.2671
input.anserini_ax,t_811,0.6203
input.anserini_ax,t_812,0.2479
input.anserini_ax,t_813,0.0825
input.anserini_ax,t_814,0.5312
input.anserini_ax,t_815,0.2394
input.anserini_ax,t_816,0.0952
input.anserini_ax,t_817,0.3878
input.anserini_ax,t_818,0.5901
input.anserini_ax,t_819,0.1303
input.anserini_ax,t_820,0.3234
input.anserini_ax,t_821,0.2942
input.anserini_ax,t_822,0.3073
input.anserini_ax,t_823,0.4609
input.anserini_ax,t_824,0.4719
input.anserini_ax,t_825,0.5067
input.anserini_bm25,t_321,0.1769
input.anserini_bm25,t_336,0.409
input.anserini_bm25,t_341,0.3021
input.anserini_bm25,t_347,0.0928
input.anserini_bm25,t_350,0.0019
input.anserini_bm25,t_362,0.1601
input.anserini_bm25,t_363,0.1825
input.anserini_bm25,t_367,0.0773
input.anserini_bm25,t_375,0.4475
input.anserini_bm25,t_378,0.1326
input.anserini_bm25,t_393,0.0057
input.anserini_bm25,t_397,0.0984
input.anserini_bm25,t_400,0.1323
input.anserini_bm25,t_408,0.0485
input.anserini_bm25,t_414,0.2012
input.anserini_bm25,t_422,0.2213
input.anserini_bm25,t_426,0.1478
input.anserini_bm25,t_427,0.039
input.anserini_bm25,t_433,0.0836
input.anserini_bm25,t_439,0.0192
input.anserini_bm25,t_442,0.0741
input.anserini_bm25,t_445,0.243
input.anserini_bm25,t_626,0.2777
input.anserini_bm25,t_646,0.121
input.anserini_bm25,t_690,0.0051
input.anserini_bm25,t_801,0.1126
input.anserini_bm25,t_802,0.453
input.anserini_bm25,t_803,0.2298
input.anserini_bm25,t_804,0.1202
input.anserini_bm25,t_805,0.1126
input.anserini_bm25,t_806,0.4666
input.anserini_bm25,t_807,0.856
input.anserini_bm25,t_808,0.1269
input.anserini_bm25,t_809,0.5588
input.anserini_bm25,t_810,0.2395
input.anserini_bm25,t_811,0.5184
input.anserini_bm25,t_812,0.1817
input.anserini_bm25,t_813,0.0905
input.anserini_bm25,t_814,0.3955
input.anserini_bm25,t_815,0.3133
input.anserini_bm25,t_816,0.1302
input.anserini_bm25,t_817,0.3833
input.anserini_bm25,t_818,0.5092
input.anserini_bm25,t_819,0.0966
input.anserini_bm25,t_820,0.1798
input.anserini_bm25,t_821,0.2536
input.anserini_bm25,t_822,0.2247
input.anserini_bm25,t_823,0.3317
input.anserini_bm25,t_824,0.3826
input.anserini_bm25,t_825,0.4513
input.anserini_ql,t_321,0.2322
input.anserini_ql,t_336,0.3802
input.anserini_ql,t_341,0.2995
input.anserini_ql,t_347,0.0824
input.anserini_ql,t_350,2e-04
input.anserini_ql,t_362,0.1514
input.anserini_ql,t_363,0.1602
input.anserini_ql,t_367,0.0795
input.anserini_ql,t_375,0.3862
input.anserini_ql,t_378,0.1463
input.anserini_ql,t_393,0.026
input.anserini_ql,t_397,0.1268
input.anserini_ql,t_400,0.1331
input.anserini_ql,t_408,0.069
input.anserini_ql,t_414,0.1253
input.anserini_ql,t_422,0.0639
input.anserini_ql,t_426,0.0917
input.anserini_ql,t_427,0.0462
input.anserini_ql,t_433,0.512
input.anserini_ql,t_439,0.0181
input.anserini_ql,t_442,0.06
input.anserini_ql,t_445,0.2334
input.anserini_ql,t_626,0.245
input.anserini_ql,t_646,0.1078
input.anserini_ql,t_690,0.0144
input.anserini_ql,t_801,0.1241
input.anserini_ql,t_802,0.4905
input.anserini_ql,t_803,0.2211
